X,Y
-10.0,80.0
-8.947368421052632,52.74238227146813
-7.894736842105264,29.916897506925224
-6.842105263157895,11.52354570637118
-5.7894736842105265,-2.4376731301939003
-4.736842105263158,-11.966759002770083
-3.6842105263157894,-17.06371191135734
-2.6315789473684212,-17.72853185595568
-1.578947368421053,-13.961218836565099
-0.526315789473685,-5.761772853185603
0.5263157894736832,6.869806094182811
1.5789473684210513,23.933518005540144
2.6315789473684212,45.42936288088643
3.6842105263157894,71.3573407202216
4.7368421052631575,101.71745152354569
5.789473684210526,136.5096952908587
6.842105263157894,175.73407202216063
7.894736842105264,219.39058171745154
8.94736842105263,267.4792243767312
10.0,320.0
