R/Ropt,V(R)
0.06008888888888889,0.238
0.12017777777777779,0.419
0.1802666666666667,0.551
0.24035555555555557,0.6489999999999999
0.30044444444444446,0.729
0.3605333333333334,0.7879999999999999
0.42062222222222223,0.832
0.48071111111111114,0.866
0.5408,0.8969999999999999
0.6008888888888889,0.9219999999999999
0.6609777777777778,0.945
0.7210666666666667,0.961
0.7811555555555556,0.973
0.8412444444444445,0.982
0.9013333333333333,0.993
0.9614222222222223,0.995
1.021511111111111,1.002
1.0816,1.01
1.141688888888889,1.012
1.2017777777777778,1.026
1.2618666666666667,1.047
1.3219555555555556,1.0579999999999998
1.3820444444444444,1.075
1.4421333333333335,1.081
1.5022222222222223,1.075
1.5623111111111112,1.06
1.6224,1.052
1.682488888888889,1.0210000000000001
1.782637037037037,0.984
