R/Ropt,V(R)
0.060000000000000005,0.192
0.12000000000000001,0.338
0.18000000000000002,0.47400000000000003
0.24000000000000002,0.575
0.3,0.652
0.36000000000000004,0.7120000000000001
0.42000000000000004,0.761
0.48000000000000004,0.8019999999999999
0.54,0.838
0.6,0.88
0.66,0.909
0.7200000000000001,0.9269999999999999
0.78,0.947
0.8400000000000001,0.9580000000000001
0.9,0.982
0.9600000000000001,0.9990000000000001
1.02,1.0
1.08,1.017
1.1400000000000001,1.017
1.2,1.0270000000000001
1.2600000000000002,1.0639999999999998
1.32,1.0879999999999999
1.3800000000000001,1.067
1.4400000000000002,1.073
1.5000000000000002,1.0419999999999998
1.56,0.9990000000000001
1.6199999999999999,1.0110000000000001
1.72,1.0270000000000001
1.8200000000000003,1.0490000000000002
