R/Ropt,V(R)
0.060106194690265485,0.313
0.12021238938053097,0.53
0.18031858407079643,0.662
0.24042477876106194,0.749
0.3005309734513274,0.81
0.36063716814159286,0.855
0.4207433628318584,0.89
0.4808495575221239,0.9169999999999999
0.5409557522123893,0.936
0.6010619469026548,0.955
0.6611681415929203,0.9660000000000001
0.7212743362831857,0.974
0.7813805309734512,0.985
0.8414867256637169,0.986
0.9015929203539823,0.9919999999999999
0.9616991150442478,0.999
1.0218053097345132,1.0
1.0819115044247787,1.0
1.1420176991150441,1.005
1.2021238938053096,0.998
1.262230088495575,0.987
1.3223362831858405,0.983
1.3824424778761062,0.982
1.4425486725663714,0.9810000000000001
1.502654867256637,0.972
1.5627610619469023,0.957
1.622867256637168,0.943
1.6829734513274337,0.933
1.743079646017699,0.94
1.8432566371681416,0.898
