R/Ropt,V(R)
0.060000000000000005,0.182
0.12000000000000001,0.30900000000000005
0.18,0.411
0.24000000000000002,0.51
0.3,0.5850000000000001
0.36,0.652
0.42,0.718
0.48000000000000004,0.756
0.5399999999999999,0.787
0.6,0.8200000000000001
0.66,0.8510000000000001
0.72,0.8670000000000001
0.7799999999999999,0.889
0.84,0.9149999999999999
0.8999999999999999,0.952
0.9600000000000001,0.986
1.02,1.007
1.0799999999999998,1.0290000000000001
1.14,1.044
1.2,1.033
1.26,1.024
1.3599999999999999,0.984
1.4599999999999997,0.9339999999999999
