R/Ropt,V(R)
0.09980392156862744,0.382
0.19960784313725488,0.6609999999999999
0.2994117647058824,0.816
0.39921568627450976,0.84
0.4990196078431372,0.914
0.5988235294117648,0.9430000000000001
0.6986274509803921,0.9640000000000001
0.7984313725490195,0.965
0.898235294117647,1.008
0.9980392156862744,1.008
1.097843137254902,0.999
1.1976470588235295,0.996
1.2974509803921568,0.99
1.3972549019607843,0.9880000000000001
1.4970588235294118,0.982
1.596862745098039,0.975
1.6966666666666665,0.972
1.796470588235294,0.965
1.8962745098039215,0.96
1.9960784313725488,0.951
