R/Ropt,V(R)
0.05994782608695652,0.212
0.11989565217391304,0.376
0.17984347826086958,0.51
0.23979130434782608,0.62
0.2997391304347826,0.697
0.35968695652173915,0.7569999999999999
0.41963478260869563,0.804
0.47958260869565217,0.8410000000000001
0.5395304347826088,0.876
0.5994782608695652,0.903
0.6594260869565217,0.93
0.7193739130434783,0.945
0.7793217391304347,0.959
0.8392695652173913,0.97
0.8992173913043477,0.985
0.9591652173913043,0.9939999999999999
1.0191130434782607,1.0030000000000001
1.0790608695652175,1.012
1.1390086956521739,1.013
1.1989565217391305,1.002
1.2589043478260868,1.0050000000000001
1.3188521739130434,1.014
1.3788,1.016
1.4387478260869566,1.014
1.498695652173913,1.022
1.5586434782608694,1.002
1.6185913043478262,0.97
1.6785391304347825,0.975
1.7384869565217391,1.024
1.8384,1.115
