log_Re,Normalized flux
4.114,0.456
4.23,0.438
4.322,0.417
4.362,0.407
4.362,0.403
4.462,0.381
4.491,0.38
4.532,0.366
4.568,0.365
4.591,0.356
4.623,0.347
4.672,0.333
4.69,0.324
4.716,0.32
4.763,0.307
4.806,0.303
4.851,0.292
4.898,0.286
4.94,0.278
4.973,0.274
5.009,0.274
5.025,0.272
5.049,0.27
5.1,0.262
5.143,0.26
5.199,0.255
5.236,0.253
5.27,0.255
5.281,0.253
5.303,0.25
5.326,0.252
5.377,0.255
5.43,0.253
5.493,0.258
5.534,0.26
5.574,0.262
5.608,0.29
5.63,0.272
5.668,0.272
5.709,0.272
5.756,0.278
5.792,0.279
5.833,0.283
5.94,0.286
5.965,0.288
5.929,0.289
5.954,0.288
5.987,0.286
