Degree,Log_frequency
1,5.717027701406222
2,5.438079308923196
3,5.198497031265825
4,5.278114659230517
5,4.941642422609304
6,4.787491742782046
7,4.51085950651685
8,4.68213122712422
9,4.2626798770413155
10,4.204692619390966
11,3.4965075614664802
12,4.304065093204169
13,4.1588830833596715
14,3.6635616461296463
15,4.143134726391533
16,4.0943445622221
17,3.988984046564274
18,3.6635616461296463
19,3.58351893845611
20,3.0910424533583156
21,2.70805020110221
22,2.995732273553991
23,3.1354942159291497
24,2.995732273553991
25,2.772588722239781
26,2.70805020110221
27,2.8903717578961645
28,2.197224577336219
29,2.5649493574615367
30,2.197224577336219
31,3.044522437723423
32,2.3025850929940455
33,2.3978952727983707
34,2.6390573296152584
35,2.70805020110221
36,2.3978952727983707
37,2.197224577336219
38,1.9459101490553132
39,1.6094379124341003
40,1.6094379124341003
41,1.3862943611198906
42,1.6094379124341003
43,1.9459101490553132
44,1.791759469228055
45,0.6931471805599453
46,1.6094379124341003
47,1.6094379124341003
48,1.6094379124341003
49,1.0986122886681096
50,1.791759469228055
51,0.6931471805599453
52,1.3862943611198906
53,1.0986122886681096
54,1.6094379124341003
55,1.0986122886681096
56,1.0986122886681096
57,1.791759469228055
58,0.6931471805599453
59,0.6931471805599453
60,0.6931471805599453
61,0.0
62,1.3862943611198906
63,1.3862943611198906
64,0.0
66,1.3862943611198906
67,0.6931471805599453
68,0.6931471805599453
70,1.791759469228055
71,0.0
72,0.6931471805599453
73,0.6931471805599453
74,1.0986122886681096
76,0.0
77,1.0986122886681096
78,0.6931471805599453
79,0.6931471805599453
80,0.6931471805599453
81,0.6931471805599453
82,0.0
83,0.6931471805599453
84,0.0
86,0.0
87,1.3862943611198906
88,0.0
89,0.0
90,0.6931471805599453
91,0.6931471805599453
92,0.0
93,0.0
94,0.0
95,0.0
97,0.6931471805599453
99,0.6931471805599453
101,0.0
104,0.6931471805599453
105,0.6931471805599453
106,0.0
111,0.0
112,0.0
113,0.0
123,0.6931471805599453
128,0.0
130,0.0
141,0.0
146,0.0
148,0.0
151,0.0
154,0.0
173,0.0
223,0.0
273,0.0
