Degree,Log_frequency
1,8.829519094780778
2,8.765146421639022
3,8.653994232908383
4,8.536995818712416
5,8.43771698991444
6,8.3133619511344
7,8.226038429485484
8,8.119100837637486
9,8.063377822367027
10,7.93164402145431
11,7.821643126239982
12,7.7664168980196555
13,7.679713639966372
14,7.634820677745543
15,7.569927655242652
16,7.5071410797276075
17,7.4175804024145435
18,7.3349818788718135
19,7.280697195384741
20,7.235619141066749
21,7.148345743900067
22,7.118016204465333
23,7.00033446027523
24,6.974478911025045
25,6.938284484016959
26,6.865891074883438
27,6.82001636467413
28,6.77078942390898
29,6.736966958001855
30,6.635946555686646
31,6.583409222158765
32,6.621405651764134
33,6.5638555265321274
34,6.453624998892692
35,6.439350371100098
36,6.456769655572163
37,6.343880434126331
38,6.342121418721151
39,6.311734809152914
40,6.20050917404269
41,6.180016653652572
42,6.194405391104672
43,6.161207321695076
44,6.0330862217988015
45,6.042632833682381
46,5.988961416889863
47,5.9427993751267
48,5.98393628068719
49,5.924255797414531
50,5.8888779583328805
51,5.860786223465865
52,5.805134968916488
53,5.91350300563827
54,5.736572297479192
55,5.82600010738045
56,5.700443573390686
57,5.726847747587197
58,5.552959584921617
59,5.598421958998374
60,5.480638923341991
61,5.517452896464707
62,5.53338948872752
63,5.424950017481402
64,5.424950017481402
65,5.459585514144159
66,5.424950017481402
67,5.2832037287379885
68,5.327876168789581
69,5.267858159063328
70,5.303304908059076
71,5.356586274672012
72,5.272999558563747
73,5.10594547390058
74,5.236441962829949
75,5.170483995038151
76,5.123963979403259
77,5.176149732573829
78,5.123963979403259
79,5.1298987149230735
80,4.983606621708336
81,4.997212273764115
82,5.017279836814924
83,4.969813299576001
84,4.828313737302301
85,4.897839799950911
86,5.017279836814924
87,4.882801922586371
88,4.997212273764115
89,4.948759890378168
90,4.859812404361672
91,4.736198448394496
92,4.574710978503383
93,4.700480365792416
94,4.7535901911063645
95,4.770684624465664
96,4.709530201312334
97,4.553876891600541
98,4.663439094112067
99,4.867534450455582
100,4.672828834461906
101,4.6443908991413725
102,4.605170185988091
103,4.653960350157523
104,4.532599493153255
105,4.553876891600541
106,4.418840607796597
107,4.51085950651685
108,4.61512051684126
109,4.663439094112067
110,4.406719247264253
111,4.418840607796597
112,4.454347296253507
113,4.48863636973214
114,4.304065093204169
115,4.532599493153255
116,4.1588830833596715
117,4.356708826689592
118,4.382026634673881
119,4.174387269895637
120,4.343805421853684
121,4.276666119016055
122,4.2484952420493585
123,4.276666119016055
124,4.219507705176107
125,4.174387269895637
126,4.025351690735149
127,3.951243718581427
128,3.9702919135521215
129,4.2626798770413155
130,3.9702919135521215
131,4.127134385045092
132,3.8712010109078907
133,4.04305126783455
134,4.143134726391533
135,4.143134726391533
136,4.07753744390572
137,4.127134385045092
138,4.174387269895637
139,3.912023005428146
140,3.988984046564274
141,4.2484952420493585
142,3.951243718581427
143,3.9702919135521215
144,3.988984046564274
145,4.127134385045092
146,3.8918202981106265
147,3.8712010109078907
148,3.6375861597263857
149,3.8066624897703196
150,3.828641396489095
151,3.8501476017100584
152,3.8501476017100584
153,4.07753744390572
154,3.6635616461296463
155,4.143134726391533
156,3.737669618283368
157,3.951243718581427
158,3.9702919135521215
159,3.737669618283368
160,3.9702919135521215
161,3.6888794541139363
162,3.4339872044851463
163,3.7612001156935624
164,3.737669618283368
165,3.784189633918261
166,3.828641396489095
167,3.6888794541139363
168,3.4657359027997265
169,3.58351893845611
170,3.8066624897703196
171,3.526360524616161
172,3.828641396489095
173,3.4965075614664802
174,3.5553480614894135
175,3.784189633918261
176,3.7135720667043075
177,3.58351893845611
178,3.4965075614664802
